epoch,train_loss,val_loss,dice_background,dice_cat,dice_dog,dice_mean_foreground,learning_rate,epoch_time
1,1.700974,1.570027,0.756833,0.152720,0.359069,0.255894,0.0050000,133.95
2,1.580080,1.578557,0.765127,0.146269,0.361171,0.253720,0.0049775,133.69
3,1.586116,1.593191,0.734706,0.148041,0.351883,0.249962,0.0049550,140.00
4,1.608581,1.616431,0.745929,0.022365,0.432408,0.227386,0.0049324,159.72
5,1.610032,1.647968,0.706522,0.073094,0.395547,0.234320,0.0049099,135.90
6,1.638045,1.585714,0.726520,0.111612,0.403538,0.257575,0.0048874,163.11
7,1.605987,1.596639,0.748227,0.091920,0.403124,0.247522,0.0048648,128.55
8,1.604685,1.602785,0.738190,0.120047,0.397642,0.258845,0.0048422,131.08
9,1.630842,1.932888,0.699676,0.141266,0.361817,0.251541,0.0048196,134.08
10,1.730130,2.199585,0.698099,0.062207,0.411880,0.237043,0.0047970,136.67
11,1.923558,3.073056,0.725902,0.215022,0.012817,0.113919,0.0047744,159.26
12,1.861809,1.672814,0.730846,0.051885,0.424375,0.238130,0.0047518,138.59
13,1.646299,1.585150,0.741420,0.000034,0.432629,0.216331,0.0047292,132.76
14,1.613231,1.684486,0.792773,0.652174,0.438915,0.545545,0.0047065,132.02
15,1.602954,1.589593,0.754741,0.006663,0.440809,0.223736,0.0046839,184.02
16,1.605583,1.645477,0.753948,0.139218,0.379128,0.259173,0.0046612,133.71
17,1.601242,1.625752,0.751306,0.159004,0.329580,0.244292,0.0046385,128.46
18,1.778156,2.544164,0.763392,0.001128,0.436315,0.218721,0.0046158,126.16
19,1.871734,1.995027,0.509443,0.060340,0.438837,0.249588,0.0045931,126.02
20,1.810274,1.703223,0.776269,0.145023,0.327999,0.236511,0.0045704,126.79
21,1.808551,1.760939,0.721916,0.135689,0.371137,0.253413,0.0045477,125.81
22,1.806815,1.699280,0.694031,0.197242,0.151220,0.174231,0.0045249,125.82
23,1.803923,1.670934,0.653845,0.058672,0.391250,0.224961,0.0045022,126.26
24,1.758445,1.646881,0.755247,0.098951,0.418849,0.258900,0.0044794,126.75
25,1.662945,1.668871,0.661933,0.001965,0.415443,0.208704,0.0044566,127.24